species	Fusarium_flagelliforme	Fusarium_fujikuroi	Fusarium_graminearum	Fusarium_mangiferae	Fusarium_musae	Fusarium_oxysporum	Fusarium_poae	Fusarium_sp.	Fusarium_subglutinans	Fusarium_tjaetaba	Fusarium_vanettenii	Fusarium_verticillioides	NI_2020	NI_2021	Inoc_2020	Inoc_2021	NI	Inoc	FER	FER_2020	FER_2021	Fusarium	Fusarium_spp
CI91B	0	0	0	0	0	0	0	10651.04	0	0	0	0	2.828334854	NA	NA	NA	2.788617771	NA	3.418893116	3.367229095	NA	2.7246	10651.04
CM105	0	0	0	0	0	0	0	0	0	0	0	0	4.083709542	NA	3.371011499	NA	4.191127574	3.512618182	3.866118325	3.687532534	NA	3.8118	0
CM174	9996.266667	0	0	0	0	5997.76	0	0	11995.52	0	0	0	6.083709542	NA	7.371011499	NA	6.191127574	7.512618182	6.866118325	6.687532534	NA	3.513	27989.54667
CM37	0	0	0	0	0	0	0	0	0	0	0	10694.16	NA	4.708106267	NA	NA	3.90178023	NA	4.688652907	NA	4.671992101	3.5482	10694.16
CM7	0	0	0	0	0	0	0	0	0	0	0	0	7.083709542	NA	7.371011499	NA	7.191127574	7.512618182	7.366118325	7.187532534	NA	4.1303	0
CML10	0	3890.42	0	0	0	0	0	0	0	0	0	0	2.083709542	5.33753406	2.371011499	3.805392555	3.147081353	3.65830751	3.412864051	2.187532534	4.66867461	2.4239	3890.42
CML103	0	0	0	0	0	0	0	0	0	0	0	0	2.339084229	2.078678474	3.597260813	5.987782492	2.147081353	5.15830751	3.662864051	2.990248415	4.040613642	3.1891	0
CML108	0	0	0	0	0	0	0	0	0	0	0	0	3.083709542	4.078678474	6.371011499	6.987782492	3.445826452	7.014578697	5.236595712	4.687532534	5.540613642	2.8827	0
CML11	0	0	0	0	0	0	0	0	0	0	0	0	3.956022198	NA	2.257886843	NA	3.989872673	2.36888937	3.189849986	3.036174594	NA	2.4747	0
CML14	0	0	0	0	0	0	0	0	0	0	0	0	6.828334854	5.449250681	6.144762186	7.078977461	6.143944099	6.798985479	6.472193203	6.384816653	6.226583158	NA	0
CML154Q	0	0	0	0	0	0	0	0	0	0	0	0	2.956022198	6.449250681	3.257886843	6.078977461	4.74457155	4.870849885	4.810327373	3.036174594	6.226583158	3.5074	0
CML157Q	0	0	0	0	0	0	0	0	0	0	0	0	0.828334854	2.078678474	2.144762186	4.987782492	1.24457155	3.870849885	2.560327373	1.384816653	3.540613642	2.0837	0
CML158Q	0	3609.96	0	0	0	0	0	0	0	0	0	0	2.083709542	2.078678474	6.371011499	2.987782492	1.945826452	5.014578697	3.486595712	4.187532534	2.540613642	2.79	3609.96
CML218	0	0	0	0	0	0	0	0	0	0	0	0	2.211396885	6.078678474	3.484136156	3.987782492	4.046453902	4.086443104	4.074729882	2.838890475	5.040613642	2.705	0
CML220	0	3429.66	0	0	0	0	0	0	0	0	0	2572.245	1.956022198	6.708106267	7.257886843	6.896587524	3.945826452	7.514578697	5.736595712	4.536174594	6.854644126	3.0954	6001.905
CML228	0	0	0	0	0	0	0	0	0	0	0	0	2.083709542	NA	4.371011499	NA	2.191127574	4.512618182	3.366118325	3.187532534	NA	2.3719	0
CML238	0	0	0	0	0	0	0	4971.34	0	0	0	0	0.956022198	3.708106267	3.257886843	2.896587524	1.945826452	3.514578697	2.736595712	2.036174594	3.354644126	2.8906	4971.34
